Year,Surname,Frecuency
2023,Mamani,723
2023,Corredor,721
2023,Castrillo,720
2023,Moldovan,720
2023,Casares,718
2023,Antúnez,717
2023,Cánovas,717
2023,Feijoo,717
2023,Maza,714
2023,Carreras,713
2023,Isidro,712
2023,Cheng,710
2023,Águila,709
2023,Chica,709
2023,Caicedo,708
2023,Terrón,707
2023,Anguita,706
2023,Zorrilla,705
2023,Valdivieso,702
2023,Ji,701
2023,Mirón,700
2023,Aldea,697
2023,Molano,696
2023,Monedero,695
2023,Rufo,695
2023,Muriel,694
2023,Dumitru,693
2023,Humanes,692
2023,Stoica,692
2023,Gamo,691
2023,Manjón,691
2023,Cea,690
2023,Samaniego,690
2023,Encarnación,689
2023,Pedrosa,689
2023,Yubero,688
2023,Olmeda,687
2023,Vivar,687
2023,Zapatero,687
2023,Bellón,686
2023,Rodero,685
2023,Trejo,683
2023,Oliveros,682
2023,Triviño,682
2023,Torrecilla,681
2023,Cañada,680
2023,Llano,680
2023,Valenciano,680
2023,Bodas,678
2023,Alameda,677
2023,Nuevo,676
2023,Royo,674
2023,Pita,673
2023,Barón,672
2023,Cueto,672
2023,Lumbreras,672
2023,Patón,672
2023,Elías,671
2023,Sedano,671
2023,Concepción,670
2023,Gozalo,670
2023,Cardozo,668
2023,Félix,668
2023,Tabares,668
2023,Cardoso,667
2023,Priego,667
2023,Zhao,667
2023,Ulloa,665
2023,Amaro,664
2023,Carralero,664
2023,Gabriel,664
2023,Corrochano,662
2023,Hermida,662
2023,Lastra,662
2023,Parraga,662
2023,Bolívar,661
2023,Riera,661
2023,Pajuelo,658
2023,Risco,657
2023,Vieira,656
2023,Cabo,655
2023,Viejo,655
2023,Zarco,655
2023,Perdiguero,654
2023,Huaman,653
2023,Mihai,653
2023,Flor,652
2023,Ginés,652
2023,Reinoso,652
2023,Barquilla,651
2023,Rondón,651
2023,Vico,649
2023,Villarejo,649
2023,Llave,648
2023,Novo,648
2023,Galiano,647
2023,Tercero,647
2023,Gheorghe,646
2023,Miralles,646
2023,Caraballo,645
2023,Mangas,644
2023,Cerrada,643
2023,Machuca,643
2023,Marrero,643
2023,Ribeiro,643
2023,Conejo,642
2023,Montalbán,642
2023,Ollero,642
2023,Camargo,641
2023,Pastrana,641
2023,Posada,641
2023,Seoane,641
2023,Yepes,641
2023,El Moussaoui,640
2023,Pelayo,640
2023,Ranz,639
2023,Portero,638
2023,Hita,637
2023,Cevallos,635
2023,Melchor,633
2023,Curiel,632
2023,Gaspar,630
2023,Montejo,630
2023,Carrascal,628
2023,Mendes,628
2023,Avendaño,627
2023,Calzado,627
2023,Villarrubia,626
2023,Notario,625
2023,Alcolea,624
2023,Astudillo,624
2023,Lamas,624
2023,Galarza,623
2023,Matei,623
2023,Culebras,621
2023,Gallegos,621
2023,Liébana,621
2023,Parrondo,620
2023,Serban,620
2023,Henríquez,618
2023,Lopes,618
2023,Teruel,618
2023,Carazo,617
2023,Fresneda,617
2023,Godino,617
2023,Mazo,617
2023,Moratilla,617
2023,Muro,616
2023,Rosillo,616
2023,Minaya,615
2023,Nombela,615
2023,Matas,612
2023,Correas,611
2023,Jareño,611
2023,Viana,611
2023,Vasile,609
2023,Pan,608
2023,Suero,608
2023,Rioja,606
2023,Silvestre,606
2023,Aguayo,605
2023,Berlanga,605
2023,Ferrera,604
2023,Portela,604
2023,Amado,603
2023,Torrado,603
2023,Béjar,602
2023,Esteve,602
2023,Jaime,602
2023,Qiu,602
2023,Caño,599
2023,Infantes,599
2023,Cantarero,598
2023,He,598
2023,Riesco,598
2023,Isabel,597
2023,Pariente,597
2023,Armas,596
2023,Colorado,596
2023,Loaiza,596
2023,Gavilán,595
2023,Pons,594
2023,Regidor,594
2023,Riva,594
2023,Romano,594
2023,Brea,593
2023,Roque,593
2023,Ciobanu,590
2023,Laso,590
2023,Postigo,590
2023,Ugarte,589
2023,Mediavilla,587
2023,Moreta,587
2023,Simarro,587
2023,Alguacil,586
2023,Aroca,585
2023,Illescas,585
2023,Palmero,585
2023,Ortego,584
2023,Piedra,584
2023,Veiga,584
2023,Mencía,583
2023,El Idrissi,582
2023,Freitas,582
2023,Matute,582
2023,Plata,582
2023,Cuadros,579
2023,Espín,578
2023,Mérida,578
2023,Matilla,577
2023,Escamilla,576
2023,Bilbao,575
2023,Arguello,574
2023,Casal,573
2023,Monreal,573
2023,Rozas,573
2023,Banegas,571
2023,Cavero,571
2023,Vinuesa,571
2023,Morata,570
2023,Nova,570
2023,David,569
2023,Galera,569
2023,Mohamed,568
2023,Obregón,568
2023,Corbacho,567
2023,Fabián,567
2023,Gijón,567
2023,Mariño,567
2023,Yebra,567
2023,Horcajada,566
2023,Ballester,564
2023,Funes,564
2023,Guardia,564
2023,Colmenares,562
2023,Iñiguez,562
2023,Pena,562
2023,Menor,561
2023,Aliaga,560
2023,Barceló,558
2023,Barquero,558
2023,Constantin,558
2023,Dinu,558
2023,Gabarri,558
2023,Baquero,557
2023,Barrul,557
2023,Raya,556
2023,Bonet,555
2023,Gordon,555
2023,Sotelo,555
2023,Trinidad,555
2023,Carmena,554
2023,Arredondo,553
2023,Bazán,553
2023,Carnicero,553
2023,Casa,553
2023,Muela,553
2023,Santander,553
2023,Días,552
2023,Pico,552
2023,Laínez,551
2023,Novas,551
2023,Estrella,550
2023,Peiró,550
2023,Santacruz,549
2023,Gayo,548
2023,Venegas,548
2023,Almendros,547
2023,Aponte,546
2023,Puentes,544
2023,Verdejo,544
2023,Capilla,543
2023,Chamizo,543
2023,Alía,541
2023,Almodóvar,541
2023,Bustillo,541
2023,Fraga,541
2023,Rendón,541
2023,Espinal,540
2023,Lama,540
2023,Largo,540
2023,Portilla,540
2023,Requejo,540
